date,value
1990-01-15,64.1
1990-02-15,64.5
1990-03-15,63.8
1990-04-15,65.8
1990-05-15,64.4
1990-06-15,63.7
1990-07-15,62.5
1990-08-15,61.5
1990-09-15,61
1990-10-15,61.1
1990-11-15,61.9
1990-12-15,61.9
1991-01-15,60.8
1991-02-15,61.5
1991-03-15,62
1991-04-15,60.7
1991-05-15,60.6
1991-06-15,61
1991-07-15,61.8
1991-08-15,61.4
1991-09-15,62.1
1991-10-15,64.3
1991-11-15,64.4
1991-12-15,64.1
1992-01-15,64.8
1992-02-15,65.7
1992-03-15,66.1
1992-04-15,64.5
1992-05-15,64.8
1992-06-15,65.6
1992-07-15,64.4
1992-08-15,62.8
1992-09-15,63.5
1992-10-15,61.5
1992-11-15,62.4
1992-12-15,61
1993-01-15,61.3
1993-02-15,61.2
1993-03-15,62.9
1993-04-15,62.5
1993-05-15,62
1993-06-15,61.5
1993-07-15,61.9
1993-08-15,60.5
1993-09-15,60.9
1993-10-15,61.2
1993-11-15,63
1993-12-15,64.3
1994-01-15,64.5
1994-02-15,64.1
1994-03-15,64.5
1994-04-15,63.7
1994-05-15,65.6
1994-06-15,65.2
1994-07-15,63.9
1994-08-15,66.2
1994-09-15,69.3
1994-10-15,69.9
1994-11-15,73.2
1994-12-15,73.1
1995-01-15,72.9
1995-02-15,74.4
1995-03-15,75.1
1995-04-15,74
1995-05-15,74
1995-06-15,75.1
1995-07-15,79.5
1995-08-15,78
1995-09-15,78.3
1995-10-15,80.4
1995-11-15,79.8
1995-12-15,78
1996-01-15,77
1996-02-15,77.5
1996-03-15,78.6
1996-04-15,80.8
1996-05-15,82.4
1996-06-15,80.5
1996-07-15,80.2
1996-08-15,79.9
1996-09-15,76.9
1996-10-15,74.1
1996-11-15,72.5
1996-12-15,71.4
1997-01-15,70.9
1997-02-15,71
1997-03-15,72.8
1997-04-15,73.4
1997-05-15,72.8
1997-06-15,70.2
1997-07-15,68.4
1997-08-15,69.8
1997-09-15,70
1997-10-15,69.8
1997-11-15,70.3
1997-12-15,68
1998-01-15,67.4
1998-02-15,67.6
1998-03-15,67.4
1998-04-15,66.8
1998-05-15,66.4
1998-06-15,64.2
1998-07-15,64.3
1998-08-15,62.4
1998-09-15,61.9
1998-10-15,62.7
1998-11-15,62.6
1998-12-15,62.1
1999-01-15,61
1999-02-15,58.4
1999-03-15,57
1999-04-15,55.8
1999-05-15,55.4
1999-06-15,54.6
1999-07-15,52.6
1999-08-15,54.4
1999-09-15,54.6
1999-10-15,53.2
1999-11-15,53.2
1999-12-15,51.9
2000-01-15,52.6
2000-02-15,52.3
2000-03-15,52.8
2000-04-15,53.4
2000-05-15,53.6
2000-06-15,53.8
2000-07-15,54
2000-08-15,53.2
2000-09-15,52.6
2000-10-15,53.4
2000-11-15,53.8
2000-12-15,54.4
2001-01-15,53.8
2001-02-15,54.2
2001-03-15,55.1
2001-04-15,54.6
2001-05-15,55.4
2001-06-15,54.8
2001-07-15,56.5
2001-08-15,56.6
2001-09-15,55.4
2001-10-15,54.2
2001-11-15,54.7
2001-12-15,54.3
2002-01-15,53.5
2002-02-15,51.7
2002-03-15,52
2002-04-15,51
2002-05-15,50.5
2002-06-15,51.3
2002-07-15,52
2002-08-15,53.4
2002-09-15,54.9
2002-10-15,55.2
2002-11-15,56.3
2002-12-15,55.6
2003-01-15,56
2003-02-15,56.5
2003-03-15,55.5
2003-04-15,55.6
2003-05-15,56.3
2003-06-15,56
2003-07-15,56.7
2003-08-15,57.6
2003-09-15,58.7
2003-10-15,60.3
2003-11-15,61.8
2003-12-15,62.4
2004-01-15,64.3
2004-02-15,65
2004-03-15,66.7
2004-04-15,67.3
2004-05-15,66.4
2004-06-15,66.1
2004-07-15,65.6
2004-08-15,64.5
2004-09-15,65.2
2004-10-15,64.7
2004-11-15,65.4
2004-12-15,65.6
2005-01-15,65.4
2005-02-15,65.9
2005-03-15,67.1
2005-04-15,65.6
2005-05-15,66.3
2005-06-15,67.2
2005-07-15,67.4
2005-08-15,67.5
2005-09-15,68.4
2005-10-15,69.4
2005-11-15,68.8
2005-12-15,69.5
2006-01-15,69.4
2006-02-15,70.4
2006-03-15,69.4
2006-04-15,69.7
2006-05-15,71
2006-06-15,71.1
2006-07-15,72.9
2006-08-15,72.9
2006-09-15,73
2006-10-15,74.9
2006-11-15,77.5
2006-12-15,78.6
2007-01-15,78.1
2007-02-15,79.6
2007-03-15,80.8
2007-04-15,83.6
2007-05-15,86.2
2007-06-15,91.1
2007-07-15,95.3
2007-08-15,98.9
2007-09-15,105
2007-10-15,107.6
2007-11-15,110.5
2007-12-15,114.4
2008-01-15,120
2008-02-15,128
2008-03-15,132.1
2008-04-15,130.4
2008-05-15,130
2008-06-15,132.5
2008-07-15,130.1
2008-08-15,121.1
2008-09-15,112.8
2008-10-15,97.6
2008-11-15,89.5
2008-12-15,86
2009-01-15,86.4
2009-02-15,84.2
2009-03-15,84
2009-04-15,87.2
2009-05-15,93.3
2009-06-15,93.3
2009-07-15,90.7
2009-08-15,93.5
2009-09-15,93
2009-10-15,94.8
2009-11-15,98.8
2009-12-15,100.7
2010-01-15,101.5
2010-02-15,99
2010-03-15,96.3
2010-04-15,96.8
2010-05-15,96.3
2010-06-15,95.8
2010-07-15,100
2010-08-15,107.7
2010-09-15,114.1
2010-10-15,120.1
2010-11-15,124.1
2010-12-15,129.3
2011-01-15,133.7
2011-02-15,137.6
2011-03-15,134.3
2011-04-15,136.4
2011-05-15,135.2
2011-06-15,135
2011-07-15,133.2
2011-08-15,133
2011-09-15,130.4
2011-10-15,125.7
2011-11-15,126.1
2011-12-15,122.1
2012-01-15,122.4
2012-02-15,125.4
2012-03-15,125.8
2012-04-15,124.4
2012-05-15,119
2012-06-15,115.9
2012-07-15,122.1
2012-08-15,123.4
2012-09-15,125.2
2012-10-15,124
2012-11-15,123.6
2012-12-15,122.9
2013-01-15,123.4
2013-02-15,123.3
2013-03-15,122.9
2013-04-15,122.9
2013-05-15,122.1
2013-06-15,120.9
2013-07-15,117.9
2013-08-15,116.2
2013-09-15,116.4
2013-10-15,118.8
2013-11-15,118.7
2013-12-15,118.2
2014-01-15,116.2
2014-02-15,118.5
2014-03-15,122.1
2014-04-15,121.5
2014-05-15,121.3
2014-06-15,119.3
2014-07-15,116.4
2014-08-15,113
2014-09-15,109.3
2014-10-15,109.4
2014-11-15,108.2
2014-12-15,105.1
2015-01-15,100.7
2015-02-15,98.5
2015-03-15,95.6
2015-04-15,94.7
2015-05-15,95
2015-06-15,94.5
2015-07-15,93.8
2015-08-15,89.6
2015-09-15,89
2015-10-15,90.4
2015-11-15,87.7
2015-12-15,87.1
2016-01-15,84.9
2016-02-15,86
2016-03-15,87.4
2016-04-15,89.2
2016-05-15,90.6
2016-06-15,93.8
2016-07-15,93
2016-08-15,95.3
2016-09-15,96.1
2016-10-15,95.9
2016-11-15,95.8
2016-12-15,95.1
2017-01-15,97.7
2017-02-15,98.1
2017-03-15,96.2
2017-04-15,95.1
2017-05-15,97.4
2017-06-15,98
2017-07-15,100.2
2017-08-15,99.3
2017-09-15,99.9
2017-10-15,98.9
2017-11-15,98.9
2017-12-15,96.4
2018-01-15,96.8
2018-02-15,97.9
2018-03-15,99
2018-04-15,98.6
2018-05-15,98.7
2018-06-15,97
2018-07-15,95.1
2018-08-15,96
2018-09-15,94.2
2018-10-15,93.3
2018-11-15,92.2
2018-12-15,92.2
2019-01-15,93.3
2019-02-15,94
2019-03-15,93.2
2019-04-15,93.6
2019-05-15,94.3
2019-06-15,95.4
2019-07-15,95.1
2019-08-15,94.1
2019-09-15,93.4
2019-10-15,95.2
2019-11-15,98.6
2019-12-15,101
2020-01-15,102.5
2020-02-15,99.4
2020-03-15,95.2
2020-04-15,92.5
2020-05-15,91.1
2020-06-15,93.3
2020-07-15,94
2020-08-15,95.9
2020-09-15,98
2020-10-15,101.4
2020-11-15,105.6
2020-12-15,108.6
2021-01-15,113.5
2021-02-15,116.6
2021-03-15,119.2
2021-04-15,122.1
2021-05-15,128.1
2021-06-15,125.3
2021-07-15,124.6
2021-08-15,128
2021-09-15,129.2
2021-10-15,133.2
2021-11-15,135.3
2021-12-15,133.7
2022-01-15,135.6
2022-02-15,141.2
2022-03-15,159.7
2022-04-15,158.4
2022-05-15,158.1
2022-06-15,154.7
2022-07-15,140.6
2022-08-15,137.6
2022-09-15,136
2022-10-15,135.4
2022-11-15,134.7
2022-12-15,131.8
2023-01-15,130.2
2023-02-15,129.8
2023-03-15,127
2023-04-15,127.7
2023-05-15,124.1
2023-06-15,122.7
2023-07-15,124.1
2023-08-15,121.6
2023-09-15,121.5